foo,CR-Fairmount,CR-Fitchburg,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester
162,22.033333333333335,97.85,58.8,67.6,62.4,40.46666666666667,44.516666666666666,63.34166666666667,89.26666666666667,83.95
163,22.016666666666666,97.95,54.1,71.31666666666666,67.58333333333333,42.1,40.13333333333333,65.375,96.51666666666667,80.65
164,23.033333333333335,80.41666666666667,55.733333333333334,81.06666666666666,62.95,43.2,45.35,69.79166666666666,91.9,98.53333333333333
165,24.533333333333335,91.93333333333334,54.53333333333333,71.1,57.38333333333333,45.983333333333334,47.766666666666666,69.0,89.4,81.46666666666667
166,23.016666666666666,91.81666666666666,55.9,72.35,60.36666666666667,50.2,44.38333333333333,66.81666666666666,93.13333333333334,80.96666666666667
167,24.533333333333335,98.55,56.75,73.08333333333333,56.05,51.11666666666667,42.35,75.45,84.85,90.4
168,25.016666666666666,81.16666666666667,56.5,67.21666666666667,58.333333333333336,48.15,39.55,66.2,,79.18333333333334
169,24.016666666666666,92.28333333333333,59.166666666666664,65.46666666666667,59.36666666666667,45.666666666666664,49.75,66.675,,85.26666666666667
170,23.533333333333335,106.98333333333333,53.78333333333333,73.16666666666667,62.1,51.083333333333336,47.05,67.71666666666667,,100.63333333333334
171,24.016666666666666,103.71666666666667,53.266666666666666,73.41666666666667,61.9,40.916666666666664,44.85,71.51666666666667,,101.11666666666666
172,24.85,91.53333333333333,64.16666666666667,68.03333333333333,56.93333333333333,47.03333333333333,45.86666666666667,65.90833333333333,,79.66666666666667
173,22.516666666666666,97.33333333333333,56.516666666666666,74.43333333333334,51.65,45.56666666666667,47.6,70.875,,82.03333333333333
174,24.033333333333335,94.98333333333333,57.05,67.43333333333334,64.06666666666666,46.75,37.733333333333334,68.79166666666666,,96.83333333333333
175,22.533333333333335,95.25,54.65,60.28333333333333,55.28333333333333,41.416666666666664,37.65,69.56666666666666,,80.26666666666667
176,23.033333333333335,91.5,54.21666666666667,72.21666666666667,60.63333333333333,47.63333333333333,38.666666666666664,70.45,,81.65
177,21.516666666666666,81.06666666666666,51.53333333333333,68.63333333333334,58.483333333333334,47.25,48.1,66.775,,82.4
178,23.816666666666666,97.96666666666667,55.61666666666667,73.91666666666667,53.95,50.2,45.55,70.01666666666667,,81.45
179,22.85,96.06666666666666,54.18333333333333,63.38333333333333,59.5,46.483333333333334,42.36666666666667,73.70833333333333,,84.91666666666667
180,21.516666666666666,82.15,53.13333333333333,72.03333333333333,61.78333333333333,48.13333333333333,39.93333333333333,71.85,,80.05
181,27.816666666666666,97.85,54.71666666666667,60.31666666666667,67.06666666666666,46.266666666666666,46.61666666666667,67.09166666666667,,86.06666666666666
182,22.016666666666666,83.65,54.2,67.88333333333334,55.05,38.95,45.43333333333333,70.19166666666666,,81.15
183,23.966666666666665,97.55,53.46666666666667,71.28333333333333,57.4,41.6,41.583333333333336,65.79166666666667,,79.73333333333333
184,24.016666666666666,92.16666666666667,58.11666666666667,75.5,58.25,42.86666666666667,47.13333333333333,67.075,,89.91666666666667
185,23.65,96.3,53.266666666666666,66.93333333333334,53.53333333333333,44.46666666666667,53.3,65.575,,87.03333333333333
186,24.416666666666668,85.9,54.083333333333336,73.41666666666667,54.55,46.36666666666667,49.75,66.51666666666667,,91.93333333333334
187,23.533333333333335,98.75,56.2,76.83333333333333,85.76666666666667,45.78333333333333,44.4,72.43333333333334,,89.96666666666667
188,26.016666666666666,93.68333333333334,59.36666666666667,72.66666666666667,54.63333333333333,50.43333333333333,48.55,68.925,,82.85
189,23.016666666666666,103.85,53.53333333333333,71.88333333333334,58.35,43.416666666666664,48.03333333333333,67.61666666666667,,82.08333333333333
